name,hanja,category,meaning,initial
하은,花榮,Light,Radiance of the inner self,B
서윤,賢潾,Wisdom,Mind guided by clarity,K
하린,慧潤,Growth,Evolution through patience,K
예빈,智宇,Joy,Happiness that inspires others,W
서윤,潾弼,Faith,Trust built from sincerity,V
지민,順燦,Love,Heart filled with compassion,C
다혜,慧榮,Wisdom,Grace that enlightens the heart,H
하윤,眞允,Wisdom,Mind guided by clarity,G
민지,智成,Faith,Trust built from sincerity,I
수빈,花基,Wisdom,Grace that enlightens the heart,W
나연,瑛浩,Harmony,Unity of the great world,P
채원,雅浩,Faith,Trust built from sincerity,D
민지,瑛泰,Kindness,A gentle and caring soul,L
유진,希永,Faith,Trust built from sincerity,T
유진,眞允,Wisdom,Understanding beyond words,O
예진,善基,Wisdom,Understanding beyond words,O
유나,花基,Light,Beacon of truth and hope,C
유진,雅賢,Wisdom,Grace that enlightens the heart,W
지민,花信,Joy,Gratitude in simple moments,S
소연,珠榮,Kindness,Empathy that heals others,T
유나,順潾,Beauty,Natural charm of serenity,K
아린,花信,Hope,Dream that lights the future,V
서윤,珠燦,Harmony,Unity of the great world,T
예빈,眞宇,Beauty,Grace shining like sunlight,Y
채원,花燦,Beauty,Elegance born from kindness,C
채원,眞燦,Love,Heart filled with compassion,P
지수,彩浩,Faith,Devotion that strengthens the soul,L
소연,智炫,Hope,Endless faith in tomorrow,P
나연,眞宰,Kindness,A gentle and caring soul,J
소연,恩哲,Wisdom,Understanding beyond words,S
다인,美基,Light,Beacon of truth and hope,W
서윤,眞哲,Joy,Happiness that inspires others,H
예진,娜榮,Joy,Delight that fills the heart,S
민지,眞民,Love,Pure affection and kindness,Q
유진,智泰,Harmony,Balance of light and reflection,L
서연,京永,Harmony,Unity of the great world,V
아린,賢燦,Growth,Evolution through patience,G
다혜,恩弼,Peace,Serenity of the gentle mind,U
서윤,慧鎭,Wisdom,Grace that enlightens the heart,V
서연,賢哲,Beauty,Elegance born from kindness,N
유나,順周,Growth,Evolution through patience,D
다연,賢潤,Growth,Journey of self-discovery,U
서윤,慧永,Wisdom,Understanding beyond words,D
수빈,順宰,Beauty,Elegance born from kindness,P
다혜,彩成,Growth,Evolution through patience,A
하윤,彩成,Kindness,A gentle and caring soul,F
예진,珠基,Beauty,Grace shining like sunlight,P
다혜,雅哲,Wisdom,Understanding beyond words,V
민지,希鎭,Growth,Journey of self-discovery,D
수빈,恩燦,Love,Pure affection and kindness,Y
수빈,柔俊,Kindness,Empathy that heals others,E
다혜,潾賢,Joy,Happiness that inspires others,I
유나,柔宇,Wisdom,Grace that enlightens the heart,G
나연,星浩,Light,Radiance of the inner self,O
다혜,映永,Strength,Inner resilience and confidence,O
민지,賢泰,Wisdom,Grace that enlightens the heart,S
예진,星民,Faith,Trust built from sincerity,O
하은,潤宇,Wisdom,Mind guided by clarity,H
유나,瑛泰,Growth,Evolution through patience,J
다연,雅鎭,Hope,Dream that lights the future,Y
예빈,恩哲,Wisdom,Mind guided by clarity,F
지민,智潤,Beauty,Natural charm of serenity,R
수빈,眞周,Peace,Serenity of the gentle mind,G
예진,希泰,Kindness,A gentle and caring soul,J
서연,順榮,Peace,Calmness in every breath,F
하윤,恩哲,Strength,Courage wrapped in gentleness,D
서연,潤允,Light,Beacon of truth and hope,E
민지,柔弼,Beauty,Natural charm of serenity,R
아린,彩浩,Light,Purity that brightens hearts,F
다연,星成,Harmony,Balance of light and reflection,Y
예진,瑛泰,Faith,Trust built from sincerity,F
지민,順俊,Hope,Promise of brighter days,C
서연,善弼,Kindness,Generosity in spirit,M
아린,順榮,Harmony,Balance of light and reflection,W
지민,珠昊,Strength,Enduring calm power,D
서연,潤潾,Faith,Belief that never falters,G
채원,映基,Strength,Courage wrapped in gentleness,T
하은,星浩,Love,Warmth that embraces the world,E
하은,瑛燦,Wisdom,Grace that enlightens the heart,Z
수빈,彩哲,Wisdom,Mind guided by clarity,G
예빈,眞基,Growth,Evolution through patience,D
지민,彩永,Faith,Devotion that strengthens the soul,X
지수,恩宰,Love,Pure affection and kindness,G
하린,柔允,Growth,Endless potential unfolding,U
서연,眞潤,Growth,Evolution through patience,R
수빈,娜潤,Faith,Belief that never falters,U
하린,順潤,Strength,Enduring calm power,W
다연,希昊,Beauty,Natural charm of serenity,Z
하린,映宇,Strength,Enduring calm power,X
유진,善勇,Strength,Inner resilience and confidence,M
하린,雅榮,Peace,Serenity of the gentle mind,H
수빈,恩成,Love,Heart filled with compassion,T
아린,順哲,Strength,Inner resilience and confidence,Z
유진,星炫,Joy,Happiness that inspires others,C
다인,娜勇,Growth,Endless potential unfolding,Z
민지,慧民,Hope,Endless faith in tomorrow,R
하윤,星勇,Hope,Endless faith in tomorrow,B
나연,智賢,Faith,Belief that never falters,F
다인,瑛潾,Harmony,Calm coexistence with all things,R
예빈,心宰,Hope,Dream that lights the future,L
다인,順成,Kindness,A gentle and caring soul,E
하윤,映宇,Beauty,Natural charm of serenity,S
소연,智燦,Light,Beacon of truth and hope,Q
아린,花周,Faith,Trust built from sincerity,O
하린,美浩,Peace,Calmness in every breath,G
나연,心昊,Light,Beacon of truth and hope,G
하은,順成,Joy,Delight that fills the heart,T
지수,希民,Kindness,A gentle and caring soul,H
유진,恩勇,Wisdom,Grace that enlightens the heart,W
아린,潾成,Kindness,Empathy that heals others,T
하린,珠炫,Peace,Calmness in every breath,P
민지,潤浩,Joy,Happiness that inspires others,T
민지,映永,Hope,Promise of brighter days,M
수빈,花泰,Joy,Delight that fills the heart,U
수빈,娜信,Kindness,Generosity in spirit,Z
다인,花潾,Growth,Evolution through patience,P
나연,映永,Peace,Serenity of the gentle mind,Z
하린,珠榮,Kindness,A gentle and caring soul,D
하린,星賢,Joy,Delight that fills the heart,K
아린,星泰,Strength,Courage wrapped in gentleness,V
서윤,花宰,Joy,Happiness that inspires others,Y
다혜,星哲,Harmony,Balance of light and reflection,K
예빈,恩賢,Love,Heart filled with compassion,G
민지,柔宰,Wisdom,Grace that enlightens the heart,K
아린,瑛鎭,Strength,Enduring calm power,R
예진,眞允,Peace,Serenity of the gentle mind,S
하윤,恩民,Beauty,Natural charm of serenity,V
나연,彩允,Joy,Gratitude in simple moments,Q
하린,善宇,Kindness,Generosity in spirit,Y
다인,心鎭,Light,Purity that brightens hearts,H
서연,瑛哲,Wisdom,Grace that enlightens the heart,O
예진,順燦,Faith,Devotion that strengthens the soul,S
수빈,潤炫,Beauty,Grace shining like sunlight,D
하윤,善炫,Wisdom,Understanding beyond words,F
다연,珠永,Light,Beacon of truth and hope,E
하린,慧勇,Joy,Gratitude in simple moments,Q
다혜,雅弼,Faith,Devotion that strengthens the soul,H
하린,映宰,Growth,Evolution through patience,R
하린,映宇,Harmony,Balance of light and reflection,B
채원,柔宰,Light,Radiance of the inner self,A
다혜,星永,Peace,Serenity of the gentle mind,B
다연,恩浩,Kindness,A gentle and caring soul,P
예진,希昊,Hope,Endless faith in tomorrow,M
서윤,柔賢,Light,Beacon of truth and hope,W
서연,珠宇,Light,Radiance of the inner self,E
하린,柔炫,Hope,Dream that lights the future,B
다혜,希昊,Peace,Calmness in every breath,J
유나,映宇,Light,Beacon of truth and hope,K
하은,潤昊,Growth,Endless potential unfolding,V
민지,潤賢,Kindness,Generosity in spirit,R
서윤,善昊,Peace,Tranquility that soothes the soul,U
아린,賢哲,Wisdom,Grace that enlightens the heart,I
하은,希炫,Hope,Promise of brighter days,K
서연,娜宇,Hope,Dream that lights the future,C
민지,瑛弼,Harmony,Balance of light and reflection,G
민지,心宇,Love,Warmth that embraces the world,A
다혜,智成,Light,Purity that brightens hearts,I
소연,眞弼,Light,Purity that brightens hearts,Q
예빈,彩周,Strength,Inner resilience and confidence,Z
다연,心信,Strength,Inner resilience and confidence,H
지민,花浩,Kindness,A gentle and caring soul,B
유나,希炫,Light,Purity that brightens hearts,Y
지민,賢宇,Hope,Promise of brighter days,G
나연,善成,Growth,Endless potential unfolding,P
지민,恩哲,Light,Purity that brightens hearts,T
예진,柔信,Love,Pure affection and kindness,M
하린,彩宰,Kindness,Empathy that heals others,H
지수,善允,Light,Beacon of truth and hope,K
서연,星泰,Growth,Journey of self-discovery,R
예빈,京宇,Beauty,Elegance born from kindness,R
지민,娜泰,Growth,Evolution through patience,H
다인,潤昊,Kindness,A gentle and caring soul,N
나연,恩鎭,Kindness,Generosity in spirit,A
예빈,慧俊,Joy,Gratitude in simple moments,Z
다혜,娜浩,Growth,Endless potential unfolding,E
소연,潤泰,Love,Heart filled with compassion,S
하윤,花潾,Strength,Inner resilience and confidence,S
예빈,善永,Beauty,Elegance born from kindness,E
소연,心賢,Harmony,Calm coexistence with all things,E
하린,彩永,Wisdom,Mind guided by clarity,I
나연,瑛浩,Love,Heart filled with compassion,Q
하은,娜炫,Growth,Journey of self-discovery,O
유나,柔民,Hope,Endless faith in tomorrow,Q
서연,希鎭,Joy,Delight that fills the heart,X
유진,潤基,Kindness,Generosity in spirit,M
채원,美炫,Strength,Enduring calm power,K
다인,映基,Light,Radiance of the inner self,T
예빈,京昊,Light,Purity that brightens hearts,Y
민지,智弼,Strength,Courage wrapped in gentleness,A
소연,潾炫,Strength,Inner resilience and confidence,H
민지,希潾,Wisdom,Mind guided by clarity,S
채원,眞榮,Wisdom,Mind guided by clarity,I
소연,彩炫,Peace,Tranquility that soothes the soul,O
하윤,希潾,Beauty,Grace shining like sunlight,L
채원,善俊,Love,Warmth that embraces the world,H
서연,善炫,Harmony,Calm coexistence with all things,A
수빈,善鎭,Growth,Evolution through patience,Y
민지,彩弼,Faith,Belief that never falters,F
유나,珠民,Harmony,Balance of light and reflection,U
예진,珠賢,Peace,Serenity of the gentle mind,X
예진,心信,Beauty,Natural charm of serenity,A
나연,雅燦,Hope,Promise of brighter days,L
나연,智浩,Wisdom,Understanding beyond words,V
하윤,希弼,Hope,Endless faith in tomorrow,Z
다연,瑛成,Beauty,Grace shining like sunlight,R
유진,美榮,Harmony,Balance of light and reflection,I
아린,心民,Love,Warmth that embraces the world,O
하윤,娜昊,Faith,Trust built from sincerity,I
민지,柔民,Peace,Serenity of the gentle mind,K
지민,賢成,Hope,Promise of brighter days,R
민지,潤民,Wisdom,Mind guided by clarity,F
소연,珠成,Beauty,Grace shining like sunlight,T
민지,潤鎭,Beauty,Natural charm of serenity,C
서윤,希俊,Harmony,Calm coexistence with all things,N
하은,眞昊,Harmony,Balance of light and reflection,V
다혜,美基,Faith,Trust built from sincerity,K
다혜,希浩,Peace,Serenity of the gentle mind,P
서연,眞燦,Hope,Endless faith in tomorrow,U
다인,映浩,Light,Radiance of the inner self,I
민지,潾民,Light,Purity that brightens hearts,V
아린,希俊,Kindness,A gentle and caring soul,A
지수,善弼,Beauty,Grace shining like sunlight,P
나연,慧永,Joy,Delight that fills the heart,A
다연,智成,Hope,Promise of brighter days,I
나연,智炫,Growth,Journey of self-discovery,S
지수,賢賢,Strength,Inner resilience and confidence,M
다혜,希弼,Hope,Promise of brighter days,R
예진,慧允,Faith,Belief that never falters,F
하윤,希弼,Kindness,A gentle and caring soul,N
소연,雅泰,Hope,Promise of brighter days,E
민지,彩宰,Faith,Devotion that strengthens the soul,A
예빈,潤信,Hope,Endless faith in tomorrow,G
서연,眞賢,Peace,Tranquility that soothes the soul,D
다인,彩浩,Growth,Journey of self-discovery,N
하은,希鎭,Beauty,Elegance born from kindness,A
지민,潾炫,Joy,Gratitude in simple moments,Q
예진,珠燦,Growth,Journey of self-discovery,T
민지,順宰,Beauty,Grace shining like sunlight,Z
서윤,潾宇,Faith,Belief that never falters,S
다인,珠允,Joy,Happiness that inspires others,L
하윤,順昊,Faith,Devotion that strengthens the soul,S
지민,花炫,Light,Radiance of the inner self,N
서연,潤榮,Faith,Devotion that strengthens the soul,I
아린,潤鎭,Growth,Evolution through patience,Q
나연,柔宰,Light,Purity that brightens hearts,C
지수,柔榮,Love,Warmth that embraces the world,S
민지,花弼,Strength,Enduring calm power,Z
지민,娜俊,Light,Beacon of truth and hope,J
나연,映榮,Growth,Journey of self-discovery,R
나연,京鎭,Peace,Calmness in every breath,P
지수,恩信,Growth,Endless potential unfolding,B
다혜,潤成,Growth,Journey of self-discovery,T
지수,順允,Wisdom,Mind guided by clarity,M
예진,心勇,Kindness,Generosity in spirit,G
다연,京賢,Harmony,Balance of light and reflection,P
지민,美信,Joy,Gratitude in simple moments,I
하은,希賢,Love,Warmth that embraces the world,H
유나,潤勇,Love,Warmth that embraces the world,H
다인,雅哲,Hope,Promise of brighter days,M
유진,柔鎭,Faith,Belief that never falters,C
아린,京泰,Growth,Evolution through patience,U
지민,京榮,Beauty,Elegance born from kindness,V
다연,賢昊,Beauty,Grace shining like sunlight,Y
지수,善賢,Kindness,Empathy that heals others,U
채원,心永,Hope,Dream that lights the future,U
나연,智勇,Growth,Journey of self-discovery,B
유나,京周,Wisdom,Understanding beyond words,Z
하은,星民,Strength,Inner resilience and confidence,Y
지민,彩永,Wisdom,Understanding beyond words,I
민지,珠燦,Beauty,Elegance born from kindness,E
채원,潤榮,Harmony,Balance of light and reflection,P
하은,心周,Beauty,Grace shining like sunlight,D
서연,希炫,Growth,Evolution through patience,F
하린,順浩,Hope,Endless faith in tomorrow,V
나연,潾昊,Beauty,Elegance born from kindness,H
지수,慧民,Faith,Belief that never falters,Z
예진,彩基,Joy,Gratitude in simple moments,U
하은,美基,Hope,Promise of brighter days,O
하은,花允,Growth,Evolution through patience,R
아린,眞勇,Joy,Happiness that inspires others,P
다인,美宇,Faith,Devotion that strengthens the soul,Z
예진,恩炫,Love,Heart filled with compassion,A
예빈,賢賢,Love,Pure affection and kindness,V
유진,善賢,Love,Warmth that embraces the world,Z
나연,瑛燦,Kindness,Empathy that heals others,N
유나,智浩,Hope,Dream that lights the future,A
다연,善賢,Faith,Trust built from sincerity,S
예빈,眞炫,Faith,Trust built from sincerity,A
지민,花宰,Wisdom,Grace that enlightens the heart,J
예진,潾潤,Kindness,Empathy that heals others,D
지민,眞成,Light,Beacon of truth and hope,F
예진,美允,Love,Pure affection and kindness,E
예진,順民,Growth,Journey of self-discovery,H
지수,善榮,Growth,Endless potential unfolding,G
서연,潤昊,Hope,Endless faith in tomorrow,C
아린,京浩,Beauty,Natural charm of serenity,H
나연,柔浩,Light,Radiance of the inner self,W
다연,希榮,Light,Radiance of the inner self,B
서연,瑛燦,Faith,Trust built from sincerity,H
예빈,眞潾,Joy,Happiness that inspires others,W
수빈,恩潤,Growth,Journey of self-discovery,P
소연,映昊,Joy,Gratitude in simple moments,Z
하윤,心周,Harmony,Unity of the great world,E
지민,娜宰,Hope,Dream that lights the future,I
다연,希俊,Strength,Inner resilience and confidence,J
지수,瑛宰,Wisdom,Understanding beyond words,O
지수,娜基,Peace,Serenity of the gentle mind,O
유진,慧榮,Strength,Inner resilience and confidence,L
다혜,恩周,Joy,Gratitude in simple moments,N
아린,瑛基,Growth,Evolution through patience,K
지민,心民,Wisdom,Understanding beyond words,H
나연,賢炫,Joy,Delight that fills the heart,R
서윤,星成,Kindness,A gentle and caring soul,G
서윤,瑛炫,Joy,Delight that fills the heart,V
수빈,潤潤,Light,Radiance of the inner self,M
다연,慧泰,Harmony,Balance of light and reflection,F
수빈,希潤,Love,Heart filled with compassion,W
소연,珠燦,Harmony,Balance of light and reflection,N
지수,慧民,Wisdom,Understanding beyond words,R
서윤,映宰,Strength,Inner resilience and confidence,C
지수,賢賢,Wisdom,Mind guided by clarity,M
다인,善哲,Light,Purity that brightens hearts,J
다인,潤鎭,Wisdom,Grace that enlightens the heart,C
다연,瑛永,Love,Pure affection and kindness,N
예빈,潾潾,Light,Radiance of the inner self,J
다혜,心宇,Strength,Courage wrapped in gentleness,B
아린,星炫,Kindness,A gentle and caring soul,T
민지,善昊,Strength,Inner resilience and confidence,G
아린,花允,Hope,Endless faith in tomorrow,N
나연,慧哲,Wisdom,Grace that enlightens the heart,N
유나,彩宰,Beauty,Grace shining like sunlight,A
하은,花炫,Growth,Journey of self-discovery,L
다혜,雅賢,Faith,Devotion that strengthens the soul,O
지수,雅鎭,Faith,Devotion that strengthens the soul,H
다혜,恩成,Love,Heart filled with compassion,O
서연,智泰,Hope,Dream that lights the future,E
민지,眞周,Harmony,Unity of the great world,X
나연,心潾,Hope,Promise of brighter days,F
하윤,花炫,Wisdom,Mind guided by clarity,Y
지민,賢潾,Hope,Promise of brighter days,Y
서연,潾鎭,Kindness,Empathy that heals others,C
예빈,娜成,Joy,Delight that fills the heart,J
하윤,潤俊,Joy,Gratitude in simple moments,F
지수,順民,Joy,Gratitude in simple moments,B
나연,星基,Harmony,Calm coexistence with all things,S
서연,心宇,Wisdom,Mind guided by clarity,O
하윤,映基,Light,Beacon of truth and hope,K
지수,珠浩,Wisdom,Grace that enlightens the heart,A
아린,潾基,Joy,Happiness that inspires others,J
아린,眞允,Peace,Tranquility that soothes the soul,N
하은,映昊,Light,Purity that brightens hearts,B
하린,美泰,Love,Warmth that embraces the world,G
아린,花潤,Kindness,Empathy that heals others,L
채원,眞昊,Light,Radiance of the inner self,F
다혜,順成,Kindness,Generosity in spirit,W
하윤,珠民,Kindness,A gentle and caring soul,U
민지,希成,Peace,Serenity of the gentle mind,F
하린,瑛炫,Harmony,Balance of light and reflection,V
서연,希俊,Faith,Trust built from sincerity,L
지민,星勇,Joy,Delight that fills the heart,Q
다인,潾榮,Kindness,Empathy that heals others,T
아린,星潾,Beauty,Natural charm of serenity,W
채원,彩昊,Faith,Belief that never falters,W
예빈,柔潤,Harmony,Calm coexistence with all things,Q
소연,珠鎭,Peace,Serenity of the gentle mind,U
유나,星永,Growth,Endless potential unfolding,U
서연,順基,Strength,Enduring calm power,N
민지,美潾,Harmony,Balance of light and reflection,E
아린,慧潾,Faith,Devotion that strengthens the soul,O
채원,眞潾,Wisdom,Mind guided by clarity,G
지민,希弼,Love,Pure affection and kindness,N
서윤,賢弼,Faith,Trust built from sincerity,I
다인,潾泰,Growth,Journey of self-discovery,B
수빈,花泰,Growth,Journey of self-discovery,X
민지,賢賢,Hope,Promise of brighter days,P
하은,瑛泰,Love,Pure affection and kindness,B
수빈,善浩,Peace,Serenity of the gentle mind,Z
채원,賢民,Kindness,Empathy that heals others,N
수빈,心潤,Joy,Gratitude in simple moments,N
서윤,珠基,Kindness,A gentle and caring soul,Y
소연,花昊,Peace,Calmness in every breath,V
하은,星成,Beauty,Elegance born from kindness,E
아린,心賢,Hope,Dream that lights the future,V
나연,京允,Peace,Serenity of the gentle mind,D
지민,花勇,Harmony,Calm coexistence with all things,X
하윤,花哲,Beauty,Grace shining like sunlight,W
하린,雅燦,Kindness,Empathy that heals others,G
나연,映永,Beauty,Natural charm of serenity,T
나연,恩宇,Joy,Happiness that inspires others,P
예빈,眞浩,Faith,Belief that never falters,G
서윤,賢潤,Strength,Inner resilience and confidence,E
지민,珠俊,Growth,Evolution through patience,W
서연,智永,Hope,Promise of brighter days,A
하린,善宇,Light,Radiance of the inner self,T
하린,美永,Faith,Belief that never falters,T
지수,京宇,Faith,Devotion that strengthens the soul,M
다혜,珠永,Peace,Serenity of the gentle mind,E
채원,京宰,Growth,Evolution through patience,M
아린,眞賢,Kindness,A gentle and caring soul,M
다연,恩宰,Joy,Happiness that inspires others,N
유나,雅民,Faith,Belief that never falters,Z
유진,順燦,Peace,Calmness in every breath,C
채원,恩潾,Growth,Journey of self-discovery,S
서윤,希浩,Love,Pure affection and kindness,O
하은,恩基,Joy,Gratitude in simple moments,L
아린,潤允,Kindness,Generosity in spirit,U
예빈,順周,Strength,Enduring calm power,C
서연,瑛賢,Beauty,Elegance born from kindness,K
지수,潾周,Faith,Trust built from sincerity,I
민지,美燦,Beauty,Grace shining like sunlight,A
서윤,順民,Harmony,Calm coexistence with all things,U
민지,潤民,Love,Pure affection and kindness,S
예진,映宰,Strength,Inner resilience and confidence,C
다연,心鎭,Peace,Calmness in every breath,F
유진,彩賢,Joy,Gratitude in simple moments,U
민지,希哲,Joy,Happiness that inspires others,U
나연,雅宇,Love,Heart filled with compassion,P
유진,珠浩,Light,Beacon of truth and hope,T
예빈,珠周,Joy,Happiness that inspires others,V
다연,眞炫,Light,Radiance of the inner self,D
하윤,潤鎭,Kindness,Empathy that heals others,G
다인,賢基,Love,Warmth that embraces the world,K
아린,潾允,Light,Purity that brightens hearts,A
예진,眞昊,Wisdom,Grace that enlightens the heart,D
유진,花浩,Wisdom,Mind guided by clarity,N
아린,潤賢,Strength,Inner resilience and confidence,E
유나,心炫,Peace,Tranquility that soothes the soul,Y
하윤,瑛弼,Growth,Journey of self-discovery,C
다인,娜弼,Joy,Gratitude in simple moments,M
서윤,恩燦,Growth,Journey of self-discovery,M
아린,眞弼,Kindness,Empathy that heals others,H
소연,恩永,Growth,Evolution through patience,K
수빈,眞弼,Light,Radiance of the inner self,K
서연,星賢,Beauty,Elegance born from kindness,F
예빈,希俊,Faith,Trust built from sincerity,G
지수,恩宰,Growth,Journey of self-discovery,A
나연,美成,Hope,Endless faith in tomorrow,C
하윤,花泰,Peace,Serenity of the gentle mind,O
채원,恩鎭,Hope,Endless faith in tomorrow,I
민지,賢潤,Peace,Tranquility that soothes the soul,I
유진,希燦,Strength,Inner resilience and confidence,H
하윤,柔潾,Faith,Devotion that strengthens the soul,B
다혜,映昊,Growth,Journey of self-discovery,L
수빈,映炫,Beauty,Natural charm of serenity,G
다인,娜弼,Strength,Enduring calm power,Y
하윤,心炫,Strength,Enduring calm power,C
예진,柔成,Joy,Happiness that inspires others,Q
예빈,潤哲,Love,Heart filled with compassion,X
지수,星哲,Growth,Endless potential unfolding,V
지민,星成,Wisdom,Mind guided by clarity,H
유나,智泰,Faith,Belief that never falters,V
다혜,希榮,Beauty,Natural charm of serenity,J
나연,潤浩,Hope,Endless faith in tomorrow,B
다혜,彩信,Hope,Endless faith in tomorrow,P
나연,映宇,Love,Heart filled with compassion,H
하윤,雅基,Harmony,Unity of the great world,L
수빈,珠宰,Joy,Happiness that inspires others,E
다인,賢昊,Joy,Happiness that inspires others,X
하윤,慧潤,Kindness,Empathy that heals others,W
유나,彩榮,Hope,Dream that lights the future,N
예빈,希賢,Harmony,Unity of the great world,E
예진,珠宇,Strength,Enduring calm power,Q
하린,智泰,Love,Pure affection and kindness,B
서연,珠信,Love,Pure affection and kindness,R
유나,星榮,Peace,Tranquility that soothes the soul,W
지민,順永,Hope,Endless faith in tomorrow,I
서연,珠永,Peace,Serenity of the gentle mind,C
소연,善信,Hope,Dream that lights the future,S
하은,星宇,Joy,Happiness that inspires others,J
서연,瑛賢,Joy,Gratitude in simple moments,E
예빈,慧基,Harmony,Balance of light and reflection,W
수빈,雅鎭,Light,Beacon of truth and hope,A
다혜,京弼,Joy,Delight that fills the heart,E
예진,恩浩,Love,Warmth that embraces the world,J
유나,潤潤,Faith,Trust built from sincerity,G
유나,心宇,Hope,Promise of brighter days,S
예진,珠鎭,Harmony,Calm coexistence with all things,L
지민,慧允,Faith,Belief that never falters,H
지민,恩信,Beauty,Natural charm of serenity,R
하윤,慧榮,Strength,Courage wrapped in gentleness,U
다연,瑛潾,Peace,Tranquility that soothes the soul,L
다인,京泰,Faith,Belief that never falters,F
유나,星勇,Light,Radiance of the inner self,C
예진,恩弼,Love,Heart filled with compassion,E
서연,花鎭,Love,Warmth that embraces the world,M
지민,心基,Growth,Evolution through patience,K
소연,京勇,Love,Heart filled with compassion,S
유진,潾浩,Light,Radiance of the inner self,F
예진,京宇,Wisdom,Mind guided by clarity,F
하린,美成,Joy,Happiness that inspires others,C
소연,恩榮,Faith,Devotion that strengthens the soul,M
다연,娜民,Light,Purity that brightens hearts,S
예진,心浩,Wisdom,Grace that enlightens the heart,W
채원,珠燦,Love,Warmth that embraces the world,I
하윤,眞泰,Light,Radiance of the inner self,A
채원,智宰,Faith,Devotion that strengthens the soul,W
유진,潤昊,Love,Warmth that embraces the world,Z
하린,美炫,Growth,Evolution through patience,X
예빈,恩宇,Peace,Tranquility that soothes the soul,Z
다인,柔民,Peace,Serenity of the gentle mind,F
